DBN,School Name, Average Score SAT Math,Average Score SAT Reading and Writing,4-Year Graduation Rate,Average Regents Score - English , Average Regents Score - Algebra I 
07X495,University Heights Secondary School,456,493.7,98.30%,79.8,
07X500,Hostos-Lincoln Academy of Science,507.6,522.8,83.70%,77.5,72.3
07X522,Bronx Design and Construction Academy,440.5,431.9,54.40%,63,62
07X527,Bronx Leadership Academy II High School,444.9,438.2,73.40%,58.4,65.8
07X547,New Explorers High School,402.2,422,50.00%,56.2,55.1
07X548,Careers in Sports High School,448.5,449.2,72.10%,64.9,62.6
07X551,The Urban Assembly Bronx Academy of Letters,434.3,430,84.90%,57.7,61.2
07X600,Alfred E. Smith Career and Technical Education Hig,436.1,435.8,79.70%,68.3,64.8
07X670,Health Opportunities High School,449.6,459.1,49.30%,69.8,66.5
08X269,Bronx Studio School for Writers and Artists,447.5,477.1,64.00%,78.6,63.1
08X282,Women's Academy of Excellence,450.2,444.3,69.60%,63.6,64.7
08X293,Renaissance High School for Musical Theater & Tech,433.6,457.2,70.00%,72,63.2
08X305,Pablo Neruda Academy,397.4,406.1,61.60%,50.7,58.1
08X312,Millennium Art Academy,432.6,462.3,72.10%,68.5,60.6
08X320,Pelham Lab High School,452.4,469.3,70.50%,64.8,64.7
08X332,Holcombe L. Rucker School of Community Research,,,54.80%,65,62.2
08X348,Schuylerville Preparatory High School,412.5,451.2,66.70%,69.9,58.8
08X349,Bronx River High School,472.7,469.5,72.80%,74.6,62.4
08X367,"Archimedes Academy for Math, Science and Technolog",452.9,452.9,63.20%,70.5,64.9
08X376,Antonia Pantoja Preparatory Academy: A College Boa,431.7,444,59.60%,71.7,61.2
08X405,Herbert H. Lehman High School,464.2,476.5,59.40%,71.5,68.1
08X432,Bronx Bridges High School,,,58.10%,48.1,60
08X452,Bronx Guild,424.7,429.4,67.20%,63.7,58.8
08X519,Felisa Rincon de Gautier Institute for Law and Pub,423.6,452.7,38.80%,51.4,58.3
08X530,Banana Kelly High School,394.4,394.4,50.00%,55.7,63.5
08X558,Westchester Square Academy,464.6,477.4,74.20%,65.6,66.4
08X559,School for Tourism and Hospitality,415.2,450,54.80%,62.1,58.9
08X561,Bronx Compass High School,443,453.8,48.10%,55.2,62.2
09X227,Bronx Collegiate Academy,427.5,442.2,66.70%,63.2,63
09X231,Eagle Academy for Young Men,443.8,452.8,74.00%,68.2,59.3
09X241,Urban Assembly School for Applied Math and Science,476.3,473.1,86.30%,76.5,65.1
09X250,Eximius College Preparatory Academy: A College Boa,426.5,444.9,88.60%,74,66.5
09X252,Mott Hall Bronx High School,419.1,432.4,79.80%,75.8,65.9
09X260,Bronx Center for Science and Mathematics,526.6,520.7,92.00%,84.5,71.4
09X263,Validus Preparatory Academy,424.8,443.9,63.60%,70.7,62
09X276,Leadership Institute,404.2,417.4,33.30%,52.4,58.3
09X297,Morris Academy for Collaborative Studies,435,433.1,73.30%,67.3,64.7
09X324,Bronx Early College Academy for Teaching & Learnin,420,442.3,82.10%,77.1,67.8
09X327,Comprehensive Model School Project M.S. 327,498.9,463.4,83.20%,73.2,71.5
09X329,DreamYard Preparatory School,410.4,446.4,67.90%,63.1,61.4
09X365,Academy for Language and Technology,441.8,424.1,96.10%,60.7,63.3
09X403,Bronx International High School,380.4,377.5,80.20%,62.4,
09X404,School for Excellence,417.1,437.1,57.90%,69.2,64.7
09X412,Bronx High School of Business,423.7,449.7,68.50%,62.1,64.3
09X413,Bronx High School for Medical Science,487.8,459.8,90.90%,73.2,67.2
09X505,"Bronx School for Law, Government and Justice",445.9,479.3,84.90%,78.4,69.7
09X517,Frederick Douglass Academy III Secondary School,421.4,430,73.30%,69.7,61.8
09X525,Bronx Leadership Academy High School,433.7,449.3,54.40%,58.7,62.2
09X543,High School for Violin and Dance,420.7,437.2,67.10%,67.8,63.3
09X564,Claremont International HS,386.6,373.6,62.10%,55.8,59.4
09X568,Young Women's Leadership School of the Bronx,,,,86.7,76
